movieId,title,genres,actors,rating
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,Tom Cruise,8.5
2,Jumanji (1995),Adventure|Children|Fantasy,"Al Pacino, Johnny Depp",5.8
3,Grumpier Old Men (1995),Comedy|Romance,"Brad Pitt, Audrey Hepburn, Robert De Niro",3.2
4,Waiting to Exhale (1995),Comedy|Drama|Romance,"Angelina Jolie, Emma Watson, Denzel Washington",8.7
5,Father of the Bride Part II (1995),Comedy,"Emma Watson, Steven Spielberg, Jennifer Lawrence",4.1
6,Heat (1995),Action|Crime|Thriller,Brad Pitt,3.4
7,Sabrina (1995),Comedy|Romance,"Christopher Nolan, Angelina Jolie, Johnny Depp",6.6
8,Tom and Huck (1995),Adventure|Children,"Clint Eastwood, Johnny Depp",9.8
9,Sudden Death (1995),Action,"Angelina Jolie, Robert De Niro, Steven Spielberg",5.0
10,GoldenEye (1995),Action|Adventure|Thriller,"Steven Spielberg, Emma Watson",4.9
11,"American President, The (1995)",Comedy|Drama|Romance,Scarlett Johansson,5.2
12,Dracula: Dead and Loving It (1995),Comedy|Horror,"Steven Spielberg, Al Pacino, Morgan Freeman",6.2
13,Balto (1995),Adventure|Animation|Children,"Emma Watson, Morgan Freeman, Tom Hanks",3.9
14,Nixon (1995),Drama,"Johnny Depp, Audrey Hepburn",4.0
15,Cutthroat Island (1995),Action|Adventure|Romance,Christopher Nolan,4.3
16,Casino (1995),Crime|Drama,"Leonardo DiCaprio, Al Pacino, Steven Spielberg",5.3
17,Sense and Sensibility (1995),Drama|Romance,"Brad Pitt, Johnny Depp, Meryl Streep",8.3
18,Four Rooms (1995),Comedy,"Jack Nicholson, Leonardo DiCaprio",8.2
19,Ace Ventura: When Nature Calls (1995),Comedy,"Audrey Hepburn, Scarlett Johansson, Emma Watson",3.7
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,Al Pacino,6.8
21,Get Shorty (1995),Comedy|Crime|Thriller,Jennifer Lawrence,9.2
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,"Steven Spielberg, Jennifer Lawrence, Johnny Depp",9.6
23,Assassins (1995),Action|Crime|Thriller,"Audrey Hepburn, Emma Watson",8.1
