movie_id,title,year,genre,director,lead_actor,imdb_rating,imdb_votes,duration_min,language,industry,source,release_month,release_season,box_office_cr,avg_user_rating,rating_normalized
TM0457,Por En Kudumbam,2024,Comedy,Magizh Thirumeni,Aari,9.1,23432,150,Tamil,Kollywood,synthetic,10,Autumn,260.6,9.1,4.6
TM0105,Vaazhai,2024,Drama,Mari Selvaraj,Dhruv Vikram,8.2,5000,130,Tamil,Kollywood,real,5,Summer,516.1,8.2,4.1
TM1738,Kal En Payanam,2024,Crime|Thriller,Linguswamy,Sai Pallavi,8.2,3474,144,Tamil,Kollywood,synthetic,10,Autumn,334.9,8.2,4.1
TM0108,Nee Kaadhal,2024,Mystery|Thriller,Venkat Prabhu,Jai,8.1,3392,122,Tamil,Kollywood,synthetic,9,Monsoon,631.8,8.1,4.0
TM1308,Vaanam Katha 2,2024,Comedy|Romance,K.S. Ravikumar,Rajinikanth,7.9,17629,132,Tamil,Kollywood,synthetic,9,Monsoon,77.6,7.9,4.0
TM0498,Saadu Kudumbam 2,2024,Romance|Drama,Ezhil,Prashanth,7.8,11517,183,Tamil,Kollywood,synthetic,10,Autumn,510.5,7.8,3.9
TM1477,Naam En Vaasam,2024,Comedy|Family,Sudha Kongara,Suriya,7.8,49215,144,Tamil,Kollywood,synthetic,2,Winter,607.3,7.8,3.9
TM0335,Veli En Sena,2024,Family|Drama,Rajesh M,Suriya,7.7,563,124,Tamil,Kollywood,synthetic,12,Winter,318.1,7.7,3.8
TM1560,Raja En Kudumbam,2024,Action|Thriller,Adhik Ravichandran,Prabhu,7.5,4224,113,Tamil,Kollywood,synthetic,1,Winter,345.2,7.5,3.8
TM1835,Sivappu En Anbu,2024,Action|Fantasy,Raju Murugan,Soori,7.5,17330,113,Tamil,Kollywood,synthetic,6,Summer,64.4,7.5,3.8
TM1935,Sivappu Paasam 3,2024,Action|Fantasy,Rajkumar Periasamy,Sai Pallavi,7.4,5845,178,Tamil,Kollywood,synthetic,1,Winter,464.7,7.4,3.7
TM1986,Mazhai En Kutumbam,2024,Action|Crime|Drama,K.S. Ravikumar,Aditi Balan,7.4,4828,180,Tamil,Kollywood,synthetic,9,Monsoon,91.6,7.4,3.7
TM1311,Vaanam Kutumbam,2024,Family|Drama,Ameer Sultan,Rashmika Mandanna,7.3,7477,124,Tamil,Kollywood,synthetic,12,Winter,247.2,7.3,3.6
TM0138,Un Pookkal,2024,Comedy|Romance,H. Vinoth,Vijay,7.2,16442,149,Tamil,Kollywood,synthetic,3,Spring,590.9,7.2,3.6
TM0637,Aadal Aasai 4,2024,Crime|Thriller,Rajesh M,Trisha,7.2,1084,177,Tamil,Kollywood,synthetic,1,Winter,124.1,7.2,3.6
TM0103,Thangalaan,2024,Action|Drama|History,Pa. Ranjith,Vikram,7.1,15000,168,Tamil,Kollywood,real,8,Monsoon,70.9,7.1,3.6
TM1294,Vellai Nanbargal 3,2024,Action|Adventure,Ameer Sultan,Atharvaa,7.1,1531,142,Tamil,Kollywood,synthetic,8,Monsoon,112.5,7.1,3.6
TM0101,Vettaiyan,2024,Action|Thriller,TJ Gnanavel,Rajinikanth,7.0,18000,168,Tamil,Kollywood,real,2,Winter,125.2,7.0,3.5
TM1362,Naam Malai 3,2024,Action|Thriller,Mohan Raja,Simbu,7.0,3803,128,Tamil,Kollywood,synthetic,6,Summer,124.8,7.0,3.5
TM0313,Naam En Kathai,2024,Action|Fantasy,Ezhil,Vijay Sethupathi,6.9,2009,177,Tamil,Kollywood,synthetic,5,Summer,218.9,6.9,3.4
TM0410,Saadu Pothu,2024,Thriller,Santhosh P. Jayakumar,Jyotika,6.9,930,184,Tamil,Kollywood,synthetic,11,Winter,493.5,6.9,3.4
TM1413,Por Kaavalan 2,2024,Action|Adventure,Venkat Prabhu,Nayanthara,6.9,5404,142,Tamil,Kollywood,synthetic,10,Autumn,410.1,6.9,3.4
TM1426,Vel En Yudham,2024,Action|Fantasy,H. Vinoth,Sivakarthikeyan,6.9,2583,141,Tamil,Kollywood,synthetic,8,Monsoon,192.2,6.9,3.4
TM0455,Kaadu Anbu,2024,Horror|Mystery,Dharani,Karthi,6.8,500,187,Tamil,Kollywood,synthetic,4,Summer,96.9,6.8,3.4
TM1549,Kaadu Porattam 2,2024,Comedy,Seenu Ramasamy,Siddharth,6.8,951,115,Tamil,Kollywood,synthetic,8,Monsoon,138.7,6.8,3.4
TM1628,Iraivi En Naal,2024,Family|Drama,Vignesh Shivan,Bobby Simha,6.8,7360,158,Tamil,Kollywood,synthetic,6,Summer,320.5,6.8,3.4
TM0190,Veli Sena,2024,Comedy|Drama,S. Shankar,Vijay,6.7,2946,141,Tamil,Kollywood,synthetic,4,Summer,128.2,6.7,3.4
TM0240,Por Katha 3,2024,Action|Comedy,Mari Selvaraj,Prabhu,6.7,1534,129,Tamil,Kollywood,synthetic,12,Winter,517.1,6.7,3.4
TM0557,Malai Vizha,2024,Action|Crime|Drama,Adhik Ravichandran,Prakash Raj,6.7,23511,129,Tamil,Kollywood,synthetic,3,Spring,421.3,6.7,3.4
TM0586,Ooru Porattam 3,2024,Drama|Mystery,Santhosh Narayanan dir,Sivakarthikeyan,6.7,1161,156,Tamil,Kollywood,synthetic,3,Spring,253.6,6.7,3.4
TM0640,Kaadu Pothu 3,2024,Action|Fantasy,James Vasanthan,Udhayanidhi Stalin,6.7,3013,159,Tamil,Kollywood,synthetic,10,Autumn,441.7,6.7,3.4
TM0899,Malai En Kaalam,2024,Drama|Romance,Selvaraghavan,Santhanam,6.7,18238,159,Tamil,Kollywood,synthetic,2,Winter,267.1,6.7,3.4
TM1382,Naan Pookkal,2024,Horror|Mystery,Pandiraj,Suriya,6.7,716,169,Tamil,Kollywood,synthetic,3,Spring,358.3,6.7,3.4
TM1384,Puli En Padai,2024,Action|Adventure,Prabhu Solomon,Ajith Kumar,6.7,1070,179,Tamil,Kollywood,synthetic,11,Winter,157.4,6.7,3.4
TM1545,Varudam Vizhi 4,2024,Action|Adventure,K.V. Anand,Siddharth,6.7,25498,163,Tamil,Kollywood,synthetic,10,Autumn,249.7,6.7,3.4
TM1515,Rendu Padai,2024,Drama|Romance,Linguswamy,Prabhu,6.6,3630,114,Tamil,Kollywood,synthetic,6,Summer,32.2,6.6,3.3
TM1459,Aval En Kaalam,2024,Romance|Drama,Selvaraghavan,Rahman,6.5,9946,114,Tamil,Kollywood,synthetic,6,Summer,484.8,6.5,3.2
TM1715,Ooru Nanbargal,2024,Thriller,Siva,Karthi,6.5,3066,155,Tamil,Kollywood,synthetic,1,Winter,163.5,6.5,3.2
TM0446,Saadu En Aasai,2024,Thriller,Selvaraghavan,Santhanam,6.4,1842,159,Tamil,Kollywood,synthetic,6,Summer,516.5,6.4,3.2
TM0814,Onbadu Nanbargal,2024,Action|Thriller,Bala,Bobby Simha,6.4,25987,155,Tamil,Kollywood,synthetic,8,Monsoon,341.8,6.4,3.2
TM1086,Kaadu Payanam 3,2024,Action|Comedy,Ezhil,Santhanam,6.4,635,157,Tamil,Kollywood,synthetic,6,Summer,430.1,6.4,3.2
TM1210,Un Maram 3,2024,Family|Drama,Venkat Prabhu,Premji Amaren,6.4,11097,128,Tamil,Kollywood,synthetic,12,Winter,505.1,6.4,3.2
TM1856,Koodu En Maram,2024,Crime|Thriller,Atlee,Santhanam,6.4,3003,133,Tamil,Kollywood,synthetic,6,Summer,244.6,6.4,3.2
TM0135,Vaanam Naal,2024,Action|Comedy,Pradeep Ranganathan,Vijay,6.3,25587,128,Tamil,Kollywood,synthetic,6,Summer,200.2,6.3,3.2
TM0104,GOAT,2024,Action|Sci-Fi,Venkat Prabhu,Vijay,6.2,32000,188,Tamil,Kollywood,real,7,Monsoon,8.7,6.2,3.1
TM1240,Ezhu En Pothu,2024,Comedy,Ezhil,Kamal Haasan,6.2,7460,111,Tamil,Kollywood,synthetic,8,Monsoon,180.9,6.2,3.1
TM0629,Oru Kaalam,2024,Thriller,Samuthirakani,Aari,6.1,14342,117,Tamil,Kollywood,synthetic,8,Monsoon,159.7,6.1,3.0
TM0327,Naalu En Porinju,2024,Drama|Mystery,Boopathy Pandian,Samantha,6.0,11627,145,Tamil,Kollywood,synthetic,7,Monsoon,433.6,6.0,3.0
TM0579,Nila Kaadhal,2024,Action|Adventure,Ameer Sultan,Prakash Raj,6.0,18794,157,Tamil,Kollywood,synthetic,5,Summer,346.4,6.0,3.0
TM0616,Kal Yudham 2,2024,Horror|Mystery,Ezhil,Santhanam,6.0,7968,119,Tamil,Kollywood,synthetic,6,Summer,299.2,6.0,3.0
TM0264,Rendu Pothu,2024,Action|Drama,Linguswamy,Premji Amaren,5.9,3347,150,Tamil,Kollywood,synthetic,9,Monsoon,422.0,5.9,3.0
TM1814,Kal Kathai 3,2024,Horror|Mystery,R.S. Durai Senthilkumar,Nayanthara,5.9,3964,136,Tamil,Kollywood,synthetic,7,Monsoon,240.0,5.9,3.0
TM0102,Indian 2,2024,Action|Thriller,S. Shankar,Kamal Haasan,5.8,20000,183,Tamil,Kollywood,real,5,Summer,227.7,5.8,2.9
TM0517,Muyal Pothu,2024,Romance|Drama,C.V. Kumar,Udhayanidhi Stalin,5.8,1186,151,Tamil,Kollywood,synthetic,1,Winter,305.4,5.8,2.9
TM0100,Lal Salaam,2024,Drama|Sport,Aishwarya Rajinikanth,Rajinikanth,5.5,12000,122,Tamil,Kollywood,real,1,Winter,187.7,5.5,2.8
TM1760,Nadu Kaavalan,2024,Comedy|Romance,H. Vinoth,Trisha,5.4,47677,140,Tamil,Kollywood,synthetic,6,Summer,320.4,5.4,2.7
TM1880,Pacha Naal 4,2024,Comedy|Romance,Karthik Subbaraj,Anushka Shetty,5.3,9344,148,Tamil,Kollywood,synthetic,8,Monsoon,380.4,5.3,2.6
TM0720,Veli Paasam,2024,Action|Fantasy,Vasanthabalan,Atharvaa,5.2,7431,148,Tamil,Kollywood,synthetic,4,Summer,85.0,5.2,2.6
TM0906,Naalu En Vaasam,2024,Comedy|Romance,A.R. Murugadoss,Samantha,5.1,4747,158,Tamil,Kollywood,synthetic,6,Summer,175.0,5.1,2.6
TM0395,Muyal Nanbargal 4,2024,Comedy|Drama,Ameer Sultan,Vijay Sethupathi,4.9,22432,182,Tamil,Kollywood,synthetic,1,Winter,224.5,4.9,2.4
TM0605,Vel En Neram,2023,Action|Comedy,Vasanthabalan,Vijay,8.7,3669,176,Tamil,Kollywood,synthetic,3,Spring,241.0,8.7,4.4
TM1538,Pallandu En Vizhi,2023,Crime|Thriller,K.S. Ravikumar,Arya,8.7,3200,145,Tamil,Kollywood,synthetic,3,Spring,575.9,8.7,4.4
TM0252,Nila En Pakal,2023,Family|Drama,Gautham Vasudev Menon,Karthi,8.2,3146,182,Tamil,Kollywood,synthetic,7,Monsoon,356.1,8.2,4.1
